model,fold,n_train,n_test,resampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,classification_report,confusion_matrix
xgb,0,61,91,none,0.06593406593406594,0.06593406593406594,0.061855670103092786,0.12371134020618557,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""2"": {""precision"": 1.0, ""recall"": 0.06593406593406594, ""f1-score"": 0.12371134020618557, ""support"": 91.0}, ""accuracy"": 0.06593406593406594, ""macro avg"": {""precision"": 0.3333333333333333, ""recall"": 0.02197802197802198, ""f1-score"": 0.041237113402061855, ""support"": 91.0}, ""weighted avg"": {""precision"": 1.0, ""recall"": 0.06593406593406594, ""f1-score"": 0.12371134020618557, ""support"": 91.0}}","[[0, 0, 0], [0, 0, 0], [85, 0, 6]]"
xgb,1,125,27,none,0.0,0.0,0.0,0.0,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 27.0}, ""2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""accuracy"": 0.0, ""macro avg"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 27.0}, ""weighted avg"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 27.0}}","[[0, 0, 0], [4, 0, 23], [0, 0, 0]]"
xgb,2,118,34,none,0.29411764705882354,0.5,0.22727272727272727,0.1336898395721925,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""2"": {""precision"": 0.29411764705882354, ""recall"": 1.0, ""f1-score"": 0.45454545454545453, ""support"": 10.0}, ""accuracy"": 0.29411764705882354, ""macro avg"": {""precision"": 0.09803921568627451, ""recall"": 0.3333333333333333, ""f1-score"": 0.15151515151515152, ""support"": 34.0}, ""weighted avg"": {""precision"": 0.08650519031141869, ""recall"": 0.29411764705882354, ""f1-score"": 0.1336898395721925, ""support"": 34.0}}","[[0, 0, 24], [0, 0, 0], [0, 0, 10]]"
lgbm,0,61,91,none,0.02197802197802198,0.02197802197802198,0.021505376344086023,0.043010752688172046,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""2"": {""precision"": 1.0, ""recall"": 0.02197802197802198, ""f1-score"": 0.043010752688172046, ""support"": 91.0}, ""accuracy"": 0.02197802197802198, ""macro avg"": {""precision"": 0.3333333333333333, ""recall"": 0.007326007326007327, ""f1-score"": 0.014336917562724016, ""support"": 91.0}, ""weighted avg"": {""precision"": 1.0, ""recall"": 0.02197802197802198, ""f1-score"": 0.043010752688172046, ""support"": 91.0}}","[[0, 0, 0], [0, 0, 0], [89, 0, 2]]"
lgbm,1,125,27,none,0.0,0.0,0.0,0.0,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 27.0}, ""2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""accuracy"": 0.0, ""macro avg"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 27.0}, ""weighted avg"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 27.0}}","[[0, 0, 0], [4, 0, 23], [0, 0, 0]]"
lgbm,2,118,34,none,0.29411764705882354,0.5,0.22727272727272727,0.1336898395721925,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""2"": {""precision"": 0.29411764705882354, ""recall"": 1.0, ""f1-score"": 0.45454545454545453, ""support"": 10.0}, ""accuracy"": 0.29411764705882354, ""macro avg"": {""precision"": 0.09803921568627451, ""recall"": 0.3333333333333333, ""f1-score"": 0.15151515151515152, ""support"": 34.0}, ""weighted avg"": {""precision"": 0.08650519031141869, ""recall"": 0.29411764705882354, ""f1-score"": 0.1336898395721925, ""support"": 34.0}}","[[0, 0, 24], [0, 0, 0], [0, 0, 10]]"
