model,fold,n_train,n_test,resampling,calibration,class_cap,source_balance,feature_selection,n_selected_features,decision_threshold,threshold_tuning,tuning_selection,accuracy,balanced_accuracy,macro_f1,weighted_f1,classification_report,confusion_matrix
extratrees,0,61,91,smote_k5,sigmoid_holdout,cap_50_per_group_class,source_balanced_per_class,extratrees_top_50,50,0.15999999999999998,balanced_accuracy:1.000000;precision:1.000000;recall:1.000000;balanced_accuracy:1.000000;selection_balanced_accuracy:1.000000,balanced_accuracy:1.000000,1.0,1.0,1.0,1.0,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 0.0}, ""1"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 91.0}, ""accuracy"": 1.0, ""macro avg"": {""precision"": 0.5, ""recall"": 0.5, ""f1-score"": 0.5, ""support"": 91.0}, ""weighted avg"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 91.0}}","[[0, 0], [0, 91]]"
extratrees,1,91,61,skipped_single_class_train,none,none,none,none,693,,skipped_single_class_train,none,0.6065573770491803,0.5,0.37755102040816324,0.45801271328203413,"{""0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""1"": {""precision"": 0.6065573770491803, ""recall"": 1.0, ""f1-score"": 0.7551020408163265, ""support"": 37.0}, ""accuracy"": 0.6065573770491803, ""macro avg"": {""precision"": 0.30327868852459017, ""recall"": 0.5, ""f1-score"": 0.37755102040816324, ""support"": 61.0}, ""weighted avg"": {""precision"": 0.3679118516527815, ""recall"": 0.6065573770491803, ""f1-score"": 0.45801271328203413, ""support"": 61.0}}","[[0, 24], [0, 37]]"
